comments,contain_gender_bias,bias,hate,english
난 절대로 브래드피트랑은 안논다 @.@,FALSE,none,offensive,I will never hang out with Brad Pitt @.@
난 절대로 임현주 욕하는인간이랑은 안논다 @.@,FALSE,none,none,I will never hang out with someone who swears at Lim Hyun-joo @.@
난 절대로 현빈이랑은 안논다 @.@,FALSE,none,offensive,I never hang out with Hyun Bin @.@
난 정은태 편.. 황동주 짜증나는 인물. ㅉ,FALSE,none,offensive,I'm on the side of Jeong Eun-tae... Hwang Dong-ju is an annoying character. lame
난 정인선 30대 중후반으로 봤는데 91년생 .....어이가 없내 81년생 아니냐?,FALSE,none,hate,"I thought Jeong In-seon was in his mid-to-late 30s, born in 1991..... This is ridiculous, wasn't he born in 1981?"
난 진짜 나이많은 사람이랑은 못 살 것같아...아무리 돈많아도..,FALSE,others,hate,I really don't think I can live with an older person... no matter how much money I have.
난 진짜 내가 여자였다면 남자가 돈이 1조가 있더라도 나보다 작은 남자랑은 안사귐,TRUE,gender,hate,"If I were a woman, I wouldn't date a man shorter than me, even if he had a trillion dollars."
난 첨부터 예원 응원했음~ 예원 응원하는 사람들 많으니까 화이팅!! (악플다는애들은 소수고 인생낭비자들이니 신경쓰지마삼),FALSE,none,none,"I've been rooting for Yewon since the beginning~ There are a lot of people rooting for Yewon, so good luck!! (The people who make malicious comments are a minority and they are wasters of their lives, so don’t worry about it)"
난 통역도 힘들겠다 싶었는데? 김선수가 답답한 일이 많았는지 말투에 짜증이 있었음. 그나마 금방 잊어버리고 기분푸는 스타일이고 친해지면 더 잘 챙길 것 같았음,FALSE,none,none,"I thought interpreting would be difficult too? Player Kim seemed irritated in his tone of voice, perhaps because he was frustrated a lot. He's the type of person who forgets things quickly and takes it easy, and it seemed like he would take better care of them once they became friends."
난 틀린말 하나 없다 생각하는데...노력도 하지 않으면 못 나오는거지...꺼내 줄 사람 없다,FALSE,none,none,"I don't think there's anything wrong with it... but if you don't try, you won't get out... there's no one to help you out."
난 하나도 안 이쁜데.. 넘 이쁜척 나오는거 아닌가? 빨리 맞는 배역을 찾기를...,FALSE,others,offensive,I'm not pretty at all... but aren't I pretending to be too pretty? I hope you find the right role quickly...
난 한녀 왜만나는지 노이해...하 진심 일본여자가 진짜 최고아니겟냐...,TRUE,gender,hate,"I don't know why I'm meeting a Korean woman... Ha, seriously, aren't Japanese women really the best..."
난 함소원좋아,FALSE,none,none,I like Ham So-won
난. 아~아~아~아~딸 이다.정부에서 국민훈장줘야되지. 않냐. 저출산에. 5명 인데.애국자,FALSE,others,offensive,I am. Ah~ah~ah~ah~ It's my daughter. The government should give her a national medal. Isn't it? Due to low birth rate. There are 5 people. Patriots
난... 저 너머 그게 보이네. 다음협찬은 탈모가 아닐까 조심스럽게 예상해본다,FALSE,none,offensive,I... I can see it beyond. I cautiously anticipate that the next sponsorship will be hair loss.
난개를좋아하지도않고 보신탕도먹는건아니지만 애견인들은 보신탕먹는사람들에게서 살인자같은 느낌받을까?,FALSE,none,hate,"I don't like dogs and I don't eat Boshintang, but do dog lovers feel like murderers when they eat Boshintang?"
난그래도 이태임 좋아,FALSE,none,none,I still like Lee Tae-im
난또 머라고 지자식이 사생아가있는데 지금부인과 맞났다고난또 요즘 미혼모 미혼부는 머가됨.이혼해서 혼자 키우는부모들도 있고,FALSE,none,offensive,"I also said that I have an illegitimate child and that I am married to my current wife. These days, single mothers and unmarried women are considered illegitimate. There are also divorced parents who are raising them alone."
난민같음 ㅋㅋㅋㅋ,FALSE,others,offensive,Looks like a refugee lol
난시청률 상관 없다 잘나오건 못나오건 뭔 상관우리 혜교님 보는것만으로 그저 행복 언제 또 볼지 모르는데 열심히 봐야지 얼굴도 이쁘고 연기도 잘하고 역시 믿보배,FALSE,none,none,"I don't care about the viewer ratings, it doesn't matter if the show is good or not, I'm just happy to see Hye-kyo. I don't know when I'll see her again, but I have to watch hard. She has a pretty face, good acting, and she's trustworthy."
난안본다 관심이없다 일박이일 좀 끝내라 사람이 그만둘때도 알어야하는데 에구다,FALSE,none,offensive,"I don't watch it. I'm not interested. Just end this one night and two days. You need to know when people quit, too."
난임으루 고생하던 사람들도 아닌데 뭔 감동이라고 억지로 저러는지 그냥 자기들 임신이 좋은거지,TRUE,gender,hate,"They are not people who have suffered from infertility, so they force themselves to do it for some reason. They just think their pregnancy is good."
"난쟁이 똥자루야 안희ㅈ,미투 패러디 안하냐콧수염 다뽑아뿌까",TRUE,gender,hate,"Ahn Hee, you sack of dwarf shit, aren’t you parodying MeToo? Pull out all your mustaches."
난파선 잘 탈출했네. 근데 민아도 aoa에서 영 존재감이 없어서 다른쪽으로 잘 될련지 모르겠다. 이참에 맘 잡고 공부해서 취직이나 하자.,FALSE,others,offensive,"I escaped the shipwreck successfully. But Mina also has no presence in AOA, so I don't know if she'll do well elsewhere. Now, let’s make up our minds to study and get a job."
날 덥쳐줘ㅎ. 오늘 여자들 마음,TRUE,gender,hate,Heat me up haha. Women's hearts today
남 까는게 일생이구나,FALSE,none,offensive,Disgusting others is my life.
남 보란듯이 행복하게 사시길,FALSE,none,none,May you live happily and proudly
남 연애사 신경 안쓰고싶은데둘이 사귀는줄 아는데 대놓고 안보고 무시하니깐 시청자 입장에서 짜증나는거지우린 단순히 프로그램을 보고싶은거지 지들 냉랭한 분위기 볼려고 티비 보는거 아니잖아적당히 해라,FALSE,others,offensive,"I don't want to worry about other people's dating history. I know they're dating, but they don't show it openly and ignore it, so it's annoying as a viewer. We just want to watch the program, not watch TV to see their cold atmosphere. Take it in moderation."
남 인스타가서 퍼와서ㅈ기사 올린 기레기를 탓해라 보도자료 뿌린것도 아닌데 왜 엄한사람한테 지럴들이니,FALSE,none,hate,"Blame it on the guy who went to Instagram and posted the article. He didn't even post a press release, so why are you saying shit to such a strict person?"
남궁민 때문에 보는 드라마,FALSE,none,none,I watch dramas because of Namgoong Min.
남궁민 연기 짱이네요 몰입도 최고,FALSE,none,none,Namgoong Min's acting is great. It's the most immersive.
남궁민 오정세 연기 어마어마하네 정말3부로 나눈게 크게 불편한가? ㅋㅋ 오줌싸고물마시고 좋던데그게 몰입도가 방해되면 일상생활이 불가능한거아니냐 ㅋㅋ,FALSE,none,offensive,"Namgoong Min's acting as Oh Jeong-se is amazing. Is it really inconvenient to divide it into three parts? Haha, it's nice to pee and drink water, but if it interferes with concentration, isn't everyday life impossible?"
남궁민 존잘에 연기신인데 피지컬이 넘 아쉽,FALSE,none,none,"Namgoong Min is a great actor, but his physical skills are disappointing."
남궁민은 어쩌고 ㅠㅠㅠ,FALSE,none,none,What about Namgoong Min ㅠㅠㅠ
남궁민은현대판제갈공명이다 감탄또감탄,FALSE,none,none,Namgoong Min is the modern version of Zhuge Gong. I admire it again and again.
남규리 너무 예쁘다,FALSE,none,none,Nam Gyu-ri is so pretty
남규리 아이린너무닮았다 이제보니 자매같다 너무 사랑스럽다,FALSE,none,none,"Nam Gyu-ri and Irene look so similar. Now that I see them, they look like sisters. So lovely."
남녀 미모 ㄷ ㄷ,FALSE,none,none,Beauty of men and women ㄷ ㄷ
남녀 성비율봐라 ㅋㅋ 30대~40대여자들 댓글이 대부분 ㅋㅋ 맨날 막장드라마에 재벌과 평민여자의 로맨스 드라마만 처보다가 이런 드라마 보니 대가리 텅텅빈 3~40대 맘충년들은 당연히 이해가 안가지 ㅋㅋ,TRUE,gender,hate,"Look at the gender ratio haha. Most of the comments are from women in their 30s and 40s haha. They always watch makjang dramas and romance dramas between chaebols and commoner women, but when they see a drama like this, empty-headed moms in their 30s and 40s don't understand it."
남녀 주인공이 실제 연인처럼 너무 잘 어울려요,FALSE,none,none,"The male and female protagonists fit together so well, like real lovers."
남녀간 섹스할때 구강성교는 기본옵션으로붙는 애무인데 무슨수치심까지야 기본섹스순서에도 들어갈 아주기본적인항목인데,TRUE,gender,hate,"When having sex between a man and a woman, oral sex is a basic caress that is included as an option. What shame is there? It is a very basic item that is included in the basic sex sequence."
남녀는 평등하다,FALSE,none,none,men and women are equal
남녀를 떠나 만 16세 이상인가는 합의하에 성관계해도 불법이아닌데 뭔상관... 돈있으면 일찍 결혼해서 일찍 애낳아 남들보다 중년때 즐기고살기 더좋겠구만,FALSE,none,none,"Regardless of whether you are a man or a woman, it is not illegal to have consensual sex if you are over 16, so what does it matter... If you have money, it would be better to get married early and have children early and enjoy life in middle age than others."
남녀바뀌었으면 마스크 쿵쾅이들 떡밥 생겼다면서 우르를르르 몰려오겠짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄹㅇ,TRUE,gender,hate,"If the men and women were swapped, mask thumpers would come rushing in, saying it would be a piece of cake lol."
남들 다 갔다오는거,FALSE,none,offensive,Everyone else is leaving
남들 다가는 군대 ㅈㄴ시끄럽네ㅠㅋㅋㅋㅋㅋ,TRUE,gender,hate,The military approaching others is fucking noisy hahahaha
남들 다가는 군대~~~~~~,FALSE,others,offensive,The army that approaches others~~~~~~
"남들과 다른 통장들고, 사생활은 평범하고 싶다....연예인으로 살겠다고 마음먹고 연습생 시작한 그순간부터 평범한 삶은 포기해야겠다는 생각 못해봤나요?",FALSE,none,none,I want to have a different bank account than everyone else and have a normal personal life... Have you ever thought about giving up an ordinary life from the moment you decided to live as a celebrity and started as a trainee?
남송 참지말자,FALSE,none,none,Let’s not tolerate Namsong.
"남은 멤버도 한 명 빼곤 뭐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 한 명은 대학교 일에다, 한 명은 명품시계구걸 삽질한번씩햇잖아? ㅋㅋㅋㅋㅋㅋㅋ 씨엔블루 그냥.. 망테크짘ㅋㅋㅋㅋㅋ",FALSE,none,offensive,"As for the remaining members, except for one person, hahahahahaha, one of them is working in college, and one is begging for a luxury watch, right? Hahaha CNBLUE is just.. mang tech hahaha."
남의 가정 이혼 하는데 힘내라든둥 멋지다라는둥..신랑도 없는것들이 아내 코스프레하고 자빠졌네 ㅡㅡ;;,TRUE,gender,offensive,They told me to cheer up and said it was cool to divorce someone else's family.. They didn't even have a groom and fell in love with their wife's cosplay ㅡㅡ;;
남의 눈치 때문에 스스로 선택과 책임지지 못한 마음이 불행한 사람들의 표현에 괴로워 할 필요 없어요. 에로스도 엄연히 예술이고 인간의 당연한 본능입니다. 그것에 특화된 국가도 있지만 우리나라는 평균이에요. 자부심 가지세요!,FALSE,none,none,"There is no need to be distressed by the expressions of unhappy people who are unable to make their own choices and take responsibility because of what others think. Eros is definitely art and a natural human instinct. There are countries that specialize in it, but ours is average. Be proud!"
남의 말 신경쓰지 말고 잘사세요~~,FALSE,none,none,Don’t worry about what others say and live well~~
남의 양치를 왜 해주고 지랄이지 건장한 사내를 친형제도 그렇게는 안해 게이처럼 개 역겨워,TRUE,gender,hate,Why do you brush someone else's teeth? Even your own brother doesn't do that to a strong man. It's disgusting like a gay.
남의 인생에 그렇게도 관심이 많냐 젊은 청춘들한테 일어날수 있는 문제다 걍 냅둬라,FALSE,none,offensive,Are you that interested in other people's lives? It's a problem that can happen to young people. Just leave it alone.
남의 일에는 신경안써' 하고 쿨한척 하던 인간들. 강남한테는 악플 쓰고 있음ㅋㅋㅋ 뭐 같은 놈들,FALSE,none,hate,"People who pretended to be cool and said, ‘I don’t care about other people’s business.’ They are writing malicious comments to Gangnam haha. These guys are like that."
남의나라 관광지에서 민폐좀 그만..,FALSE,none,none,Stop being a nuisance at tourist attractions in other countries...
남이 억울하게 할때마다 sns에 올리다보면 인생어찌사나 참 아나운서까지 됐다면서 이미지 생각 같은건 안하는구만,FALSE,none,hate,"Every time someone does something unfair to me, I post it on social media and say, ""What's the life like?"" I even became an announcer, so I don't think about my image or anything like that."
남이사 성형을 하던 지럴을 하던 무슨 상관입니까 본인들이나 잘 챙기세요 저 배우 생활비를 직접 주는것도 아니고 가족도 아니고 앞으로 평생 책임질 사람도 아닌데 뭔 그리 남의 얼굴 가지고 배나라 감나라 들인지 쯧쯧,FALSE,none,hate,"What does it matter whether Director Nam got plastic surgery or did some shit? Take care of yourself. That actor doesn't pay living expenses directly, he's not family, and he's not the one who will be responsible for the rest of his life. Why are you making a fool of him with someone else's face? Tsk tsk."
남이사 성형을 하든말든~~ 자기얼굴 자기가 고치겠다는데 배놔라 감놔라 말들이 많아 니돈 으로 하겠다냐??,FALSE,none,none,"Whether or not Nam Lee gets plastic surgery~~ He says he will fix his face himself, but there are a lot of people telling him to leave it alone, so he's going to do it with his own money??"
남이사 애가 있든 말든 뭔 상관인데ㅋㅋ 이런 나라에서 애 낳고 싶냐? 난 절대 안 낳을거다.,FALSE,others,offensive,What does it matter whether Isa Nam has a child or not? Do you want to give birth in a country like this? I will never give birth.
남자 ㅈㄴ 못생김 만들어지디 만거같이생김 ㅋㅋ,TRUE,gender,hate,"The man is so ugly, he looks like a man made lol"
남자 맛을 아는 그녀와 여자와 사귄적 없다는 남자의 성격 차이 ㅋㅋㅋ,TRUE,gender,hate,The difference in personality between a woman who knows how to taste men and a man who has never dated a woman before.
남자 어디 아파서 약 먹나 눈동자 초점이 없던데,FALSE,none,offensive,The man is in pain and needs to take medicine. His eyes have no focus.
남자 주인공이 이정재였으면 어땠을까...,FALSE,none,none,What would it have been like if the male lead was Lee Jung-jae?
남자 지갑터내 어쩌내 말많은데 쟤 갤러리아퍼레사는데 한국에서 10위권안에 드는 아파트 20억은 넘는데 무명배우라도 집이 잘사는듯 실물보면 일반인들 명함 못내민다 당시에 나도 잘몰랐는데 어쩌다 본 폭풍의 여자 땜에 겨우 알아본,FALSE,none,none,"There's a lot of talk about how to open a man's wallet. He lives at Galleria Furre, and he owns an apartment in the top 10 in Korea worth over 2 billion won. Even if he's an unknown actor, he looks like he's living well. If you look at him in person, ordinary people can't show him their business cards. I didn't know much at the time, but I finally recognized him because of a woman of the storm I happened to see."
남자 하나 잘 물은 에이급 술집언니같아. 나두 진심으로 키가 컸으면 호스트하겠다. 얼굴은 마츠모토준 황찬성 닮았다고들 그러네.,TRUE,gender,hate,"She looks like an A-level bar girl who asked a man well. If I were really tall, I would host. They say his face resembles Matsumoto Jun and Hwang Chan-sung."
남자가 그럴수도 있지 배포 있네 요즘 세상에,TRUE,gender,none,"A man can do that, it's distributed these days."
남자가 그정도로 상해 입었다면 구하라는 얼마나 더 다쳤겠냐? 여자를 한번도 때린적 없다는 남자 말을 미드는건가? 설마?,TRUE,gender,offensive,"If the man was injured that much, how much more injured would Goo Hara be? Are you making fun of a man who says he has never hit a woman? no way?"
남자가 능력도 없어보이던데애를 셋이나율희는 그 나이에 30넘은 아줌마 삘이네,TRUE,gender,hate,"The man didn't seem to have any ability, but Yul-hee, who has three children, is like a woman over 30 at that age."
남자가 돈이많구나?ㅋㅋㅋ,TRUE,gender,offensive,The man has a lot of money? LOL
남자가 딴여자좀 만날수있지 존나 참견질이네.,TRUE,gender,hate,A man can date other women. That's so meddlesome.
남자가 바람좀 필수도있지 매일 집밥만먹나 주기적으로 외식도하고 그러는거지 재결합해줘라,TRUE,gender,hate,It's necessary for a man to have an affair. He only eats home-cooked meals every day or eats out regularly. Please get back together.
남자가 사회 생활하다 보면 손이 스칠수도 있는거지 거참~~,TRUE,gender,offensive,"When a man lives in society, his hands may brush, right~~"
남자가 얼마나 속상했으면 저럴까... 같은 잘생기고 멋진 남자로서 이해한다,TRUE,gender,none,"I wonder how upset a man would be like that... As a handsome and cool man, I understand."
"남자가 왜 저람~~,,ㅉㅉ",TRUE,gender,offensive,"Why is the man like that~~,,Tsk tsk"
남자가 젊은여자보면 좀 만지고싶고 하고싶고 그런거지 하여튼 세상 참,TRUE,gender,hate,"When a man sees a young woman, he wants to touch her and do something to her, that's what the world is like."
남자가 참 못났다.,TRUE,gender,offensive,The man was really ugly.
남자가 한심하게 여장이나하고잇고 토할거같다 랄부그냥 떼라,TRUE,gender,hate,The man is dressed like a woman and looks like he's going to vomit. Just take it off.
남자가수 엠씨 연기자할꺼없이 도박하고 성매매하고 마약에 음주뺑소니 해도 잘만나오는데 왜 유독 슈한테만 그럼?,TRUE,gender,hate,"Even if you're a male singer, MC, or actor, you can get along well even if you gamble, prostitute, use drugs, and hit and run while drunk, so why do you do this only to Shu?"
남자는 돈을 가졌고 여자는 미모를 가졌으니 정당한 거래다,TRUE,gender,offensive,"The man has the money and the woman has the beauty, so it's a fair deal."
남자는 무조건 10살이상 연하를 만나라는게 또 다시 증명,TRUE,gender,hate,Proving once again that men should definitely date someone who is at least 10 years younger than them.
남자는 어릴수록 단단하니 맛있음. 25살 넘으면 철지난 크리스마스 케잌처럼 흐물거리기 시작,TRUE,gender,hate,"The younger a man is, the harder it is and the more delicious it is. Once you're over 25, it starts to get mushy like an out-of-date Christmas cake."
남자는 여자탓이라고하고 여자도 자기탓이라고 하는데 결국 여자탓 맞네,FALSE,none,offensive,"Men say it's the woman's fault, women say it's their fault, but in the end it's the woman's fault."
남자는 역시 능력이 되야 여자 시야에 들어 올거 같다 남자는 특정 부위에 눈이 가지만 여자는 전체적으로 스캔 한다지,TRUE,gender,hate,"Men have to be capable to be in a woman's field of vision. They say men focus on specific areas, but women scan the whole thing."
남자는 저런 얼굴 저런 피부색톤 거의 불호지..여자들이나 좋아할지...,TRUE,gender,offensive,A man with a face like that and a skin tone like that is almost unfavorable. I wonder if women will like it...
남자는 축하하는데 여자는 비아냥거리기만 하네 ㅋㅋ 어따 비교를 하냐 니들과 저세상 사람인데 ㅋㅋ,TRUE,gender,offensive,"The man congratulates me, but the woman just mocks me. How can I compare her? I'm from another world like you."
남자는 키크고 피부좋고 돈많고 능력있고 성격 싸이코패스나 소시오패스만 아니면 됨,TRUE,gender,offensive,"A man needs to be tall, have good skin, be rich, be capable, and have a personality as long as he is not a psychopath or sociopath."
남자들 날리나겠내,TRUE,gender,offensive,Men are going to fly away
남자들 열폭 심하네요ᆞ여자들 눈에는 알베르토 그냥 잘생기고 멋있고 능력있고 인성 좋고 똑똑한 남자로 보임^^,TRUE,gender,hate,"Men are very passionate. In the eyes of women, Alberto is just a handsome, cool, capable, personable, and smart man^^"
남자들 혼자 라이프조아조아,FALSE,none,none,"Men live alone, Joa Joa"
남자들도 불편한데 노팬티 챌린지나 하자,TRUE,gender,hate,"Even men are uncomfortable, so let’s do the no-panties challenge."
남자들은 왜케 어린 여자에 집착할까,TRUE,gender,offensive,Why are men so obsessed with young women?
남자들은 자기보다 잘난 남자 연옌들 깔껀 군대밖에 없나보다.,TRUE,gender,offensive,It seems like the only thing men have is an army of men who are better than them.
남자들의 로망 신수지... 너마저,FALSE,none,none,"Shin Soo-ji, a man's romantic dream... even you"
남자들이 딱 싫어하는 스타일이네,TRUE,gender,offensive,This is the style that men just hate.
남자들이 불쌍하다 미투니뭐니 나라가 미쳤구나,TRUE,gender,offensive,I feel sorry for the men. MeToo and all. This country is crazy.
남자라면 화사 집 앞에서 문 열어달라고 애원 하는게 당연하지‼️‼️,TRUE,gender,offensive,It's natural for a man to beg in front of Hwasa's house to open the door‼️‼️
남자라서 더럽다??? 낮에 커피숍 가봐라 아줌마들 삼산오오 모여서 남자 얘기 겁나해댄다 그런건 안더럽지??? 남자 여자가 아니라 케바케로 더러운거다 싸잡아 욕하지마라 좀,TRUE,gender,hate,"It’s dirty because you’re a man??? Go to a coffee shop during the day. The ladies gather together and talk scary stories about men. Isn’t that dirty??? It's not a man or a woman, it's dirty, so don't curse at me."
남자란 동물인가?그렇게 진솔.순수해보이고 진지해 보였는데.정말 제어가 안대는건인가 ㅜㅜ이사람만큼은 ㅜㅜ사람인줄 알앗네요참 알수가없네요믿기지도 않넫·,TRUE,gender,offensive,Are men animals? He looked so sincere. He looked pure and serious. Is he really out of control ㅜㅜ I thought this guy was human ㅜㅜ I really don’t know. I can’t even believe it.
남자로서 혜나보면 미혼모의 낙태는 필요한듯. 엄마 사랑받고 자랐지만 결국 그존재조차 모르는 부친에 대한 복수와 원망이 가득하네요. 혜나아빠는 뭔죄? 당사지간 연예문제는 당사자의 문제일뿐인데 최소한 임신여부는 알렸어야 함,FALSE,none,none,"Looking at Hye-na as a man, it seems like abortion for unwed mothers is necessary. Although he grew up being loved by his mother, he is ultimately full of revenge and resentment toward his father, who he doesn't even know exists. What is Hye-na’s father guilty of? Entertainment issues between the two parties are only a matter for the parties concerned, but at least the pregnancy should have been notified."
남자만 조사하지 말고 여자도 물이 얼마나 나왔는지 조사해라 물이 많이 나오면 흥분한거고 그건 동의한거다,TRUE,gender,hate,"Don't just ask men, check how much water comes out of women too. If a lot of water comes out, they are excited and that means they have consented."
남자배우가에러네..왤케 남자배우캐스팅을못 함,FALSE,none,offensive,There's an error with the male actor.. why can't they cast a male actor?
남자연예인들은 항상 실명 다 까지네 ㅜㅜ 남혐민국..,TRUE,gender,hate,Male celebrities always reveal their real names ㅜㅜ A man-hating country..
남자집에 왜 갔냐는 한남들 논리 = 남자들은 항상 여자 강간할 마음이 있다 ㅋㅋ 한남들 수준 잘 ~~ 봤습니다.,TRUE,gender,hate,Hannam's logic as to why she went to a man's house = Men always have the intention of raping women haha ​​I saw Hannam's level well~~.
남자측 욕하지마세요,FALSE,none,none,Don't curse at the man
남자친구가 양다리 걸친거까지 국민이 알아야되냐 그런 남자인지 몰랐으면 보는눈이 없는거지 가십거리로 시간잡아먹지마라,FALSE,none,offensive,"Do you think the public needs to know that your boyfriend is crossing his legs? If you didn't know he was that kind of guy, you don't have the eyes to see. Don't waste your time with gossip."
남주 붐 맞죠? 코수술 티 제법 나네 ㅎㄷㄷ,FALSE,none,offensive,"Namjoo Boom, right? The nose surgery looks pretty good haha"
남주가 이리없나? 박서준 박보검 서강준,FALSE,none,offensive,"Isn’t the male lead like this? Park Seo-joon, Park Bo-gum, Seo Kang-joon"
남주가 하필 쟤냐..똑같은 목소리에 똑같은 연기밖에 못하는데....,FALSE,none,none,Is it really him who is the male lead? He has the same voice and can only act the same way...
"남주는 윤박임,,,,,남주는 윤박이라고!!!!!!",FALSE,none,none,"Namjoo is Yoon Park,,,,,Namjoo is Yoon Park!!!!!!"
남주여주가.. 밍숭맹숭한데..,FALSE,none,none,The male lead and female lead... are very moody...
남주여주들은 뭐햤냐 ㅅㅂ,FALSE,none,none,What are the male and female leads doing?
남주혁이나 계속하지 못생긴 박서준은 왜불러ㅡㅡ,FALSE,none,offensive,"Nam Joo-hyuk can’t continue, why are you calling the ugly Park Seo-joon?"
남친보다 재미없나 시쳥률이 7%대 주말편성까지 좋은데 얘네는 남친 머리채 안잡으면 안되던데 아직까지 결과는 남친이군,FALSE,none,none,"Isn't it more fun than Boyfriend? The screening rate is around 7% and it's even good for weekend programming. They say you can't do it without grabbing your boyfriend's hair, but the result so far is Boyfriend."
남친얼굴은 책임져야지.......,FALSE,none,none,You have to take responsibility for your boyfriend's face....
남탓 하는것도 정신병이고 저질국민 성이다.. 그냥 고인에 명복이나 빌어르 어떻게 누구 하나 죽었다하면 죄다 남탓이냐? 자식죽은걸로 지가 뭐나 된양 정치질 하려는 부모들도 역겹다,FALSE,others,hate,"Blaming others is also a mental illness and a low-quality citizen. How can you just pray for the soul of the deceased to rest in peace? If someone dies, is it all someone else's fault? I'm also disgusted by the parents who try to play politics as if their child's death means something."
남태현 성격 싸가지에 어른공경 할줄모르고 여자들 가지고 놀고 yg가 좋아할만한건 거의 다 가졌는데,FALSE,others,hate,"Nam Taehyun has a rude personality, doesn't know how to respect adults, plays with women, and has almost everything that YG likes."
"남태현의 성기는 미워해도, 국민들을 감동시킨 그의 국보급 성대는 미워하면 안되죠?",TRUE,gender,hate,"Even if you hate Nam Tae-hyun's genitals, you can't hate his national treasure vocal chords that moved the nation, right?"
남편 핵불쌍하다..,FALSE,none,none,My husband is so pitiful...
남편돈으로 호의호식 ㄷㄷ 취집 잘한 케이스,TRUE,gender,hate,This is a case where I got a good job with my husband's money.
남편보다 배우가 누군지 더 모르겠다는..ㅎㅎ,FALSE,none,none,I don't know who the actor is more than my husband.. haha
남편분이 더 동안...둘이 나이 차이 별로 안나보임.....2조의 힘이랄까.....,FALSE,others,offensive,My husband is younger... there doesn't seem to be much of an age difference between the two... I guess it's like the power of two sets...
남편손절하면 섭외들어올꺼같지? 당신은 끝났어 배우자한테도 의리 못지키는사람을 누가써?이기적인...,TRUE,gender,offensive,"If you break up with your husband, don't you think you'll be invited? You're done. Who cares about someone who can't be loyal to their spouse? Selfish..."
남편은 용서해도 아내는 용서못하겠다 남편 신경좀 써주지는 하여간;,TRUE,gender,offensive,"Even if the husband forgives, the wife can't. I guess the husband should pay attention;"
"남편은 잘못했고 법의 심판을 받아야하지만, 그렇다고 이혼을? 진심 부부라면 죄값을 치르고 사람답게 살 수있도록 옆에 있어줘야하는거 아닐까? 애정없는 비즈니스 관계였나?",FALSE,others,offensive,"The husband did something wrong and should be judged by the law, but does that mean divorce? If you're a serious couple, shouldn't you be by their side so they can pay for their sins and live like human beings? Was it a loveless business relationship?"
남편이 돈은 많지만 아픈사람과결혼한이유가멀까? 상무형 오래살아요 제바알 ㅠㅠ,TRUE,gender,hate,"My husband has a lot of money, but is there a reason why he married a sick person? Sangmu-hyung, live long, my dear ㅠㅠ"
남편이 문재앙 맞지?,FALSE,others,hate,"Your husband is Moon Jae-in, right?"
남편이 사기치러 다닌거도 아니고 그래도 능력있는 남자 인데 나같으면 당당하게 산다~~ 박한별씨는 잘못없네요,FALSE,none,none,"It's not that my husband went out to cheat, but he's still a capable man. If it were me, I'd live proudly~~ There's nothing wrong with Park Han-byul."
남편이 이병헌이라는게 흠이지,FALSE,none,hate,The fault is that her husband is Lee Byung-hun.
남편이 잘못한건 잘못한거고 잘될때 같이 살다가 어려워졌다고 이혼하는건 좀 아닌것같다,FALSE,none,none,"What my husband did was wrong, and I don't think it's right to live together when things are going well and then divorce when things get difficult."
남편이 잘못했지 쟤가 잘못했나?웃긴놈들이네 ㅋㅋ,TRUE,gender,hate,"Was it my husband’s fault? Was it her fault? They’re funny, haha."
남편이 장동건이야 다 가져서 좋겠다,FALSE,none,none,My husband is Jang Dong-gun. I wish he could have it all.
남편이라는 놈이 상태 안좋은놈이지....돈있는 놈이 미 . 쳤 ...다고 화류계 인간을...ㅋㅋㅋㅋ,TRUE,gender,hate,The guy called my husband is in a bad state... The guy with money is beautiful. I hit a human from the Hwaryu world...lol.
내 나이 45살인데 내가 노이즈 광팬이라 잘 아는데 저 형이 나랑 2살밖에 차이가 안난다고?? 실화냐?? ㅡㅡ;;,FALSE,none,none,"I'm 45 years old and I know very well because I'm a big fan of noise, but he's only 2 years older than me?? Is this true?? ㅡㅡ;;"
내 장담컨데 예전처럼 구타폭행 되면 이새기 벌떡일어나서 날라다닌다.,FALSE,others,hate,"I can guarantee you that if you are beaten and assaulted like before, Lee Sae-gi will jump up and start flying around."
"내 주변에 고려대 영재교육원 나온 애 4명 있는데 인하대, 상명대, 중앙대, 동국대 이렇게 갔음 대학에.... 어릴때 영재라고 명문대 가는 건 아니더라",FALSE,none,none,"There are four kids around me who graduated from Korea University's Gifted Education Center, and they went to Inha University, Sangmyung University, Chung-Ang University, and Dongguk University. When I was young, being gifted didn't mean I went to a prestigious university."
내 친구가 김수현 아나운서 사촌동생이란게 자랑스럽다 ㅎㅎ,FALSE,none,none,I’m proud that my friend is announcer Kim Soo-hyun’s cousin haha.
내가 2년 동안 본 드라마.. 도깨비 나의아저씨 내뒤에테리우스 스카이캐슬 정말 스카이캐슬 최고!,FALSE,none,none,"Dramas I've been watching for 2 years... Goblin, My Mister, Terius Behind Me, Sky Castle, Sky Castle is really the best!"
